Type,Annee,Immobilisations incorporelles,Immobilisations corporelles,Produits loués,Participations comptabilisées,Autres investissements,Créances de financement des ventes,Actifs financiers,Taxe différée,Autres actifs,Inventaires,Créances clients,Créances de financement des ventes,Impôt actuel,Trésorerie et équivalents de trésorerie,Total des actifs
Group,2021,12980,22390,44700,5112,1241,51712,7515,2202,10243,15928,2261,35705,1529,16009,229527
Group,2020,12342,21850,41995,3585,735,48025,7752,2459,10326,14896,2298,36252,606,13537,216658
Group,2019,11729,23245,42609,3199,703,51030,7325,2194,12939,15891,2518,41407,1209,12036,228034
Group,2018,10971,19801,38572,2624,739,48109,7685,1590,12277,13047,2546,38674,1366,10979,208980
Group,2017,9464,18471,36257,2769,690,48321,10334,1993,9115,12707,2667,32113,1566,9039,195506
Group,2016,8157,17960,37789,2546,560,48032,9770,2327,6682,11841,2825,30228,1938,7880,188535
Automotive,2021,12438.0,21885.0,,5112.0,6061.0,,5502.0,3418.0,37649.0,14868.0,2076.0,,300.0,12009.0,121318.0
Automotive,2020,11809.0,21371.0,,3585.0,4711.0,,4711.0,3196.0,36608.0,13391.0,1979.0,,342.0,9522.0,111225.0
Automotive,2019,11212.0,22749.0,,3199.0,5144.0,,4903.0,3451.0,35695.0,14404.0,2228.0,,1000.0,9077.0,113062.0
Automotive,2018,10472.0,19372.0,,2624.0,4843.0,,5204.0,3043.0,27562.0,12462.0,2287.0,,618.0,8631.0,97118.0
Automotive,2017,8981.0,18050.0,,2769.0,4985.0,,6880.0,2857.0,26795.0,12103.0,2354.0,,714.0,7157.0,93645.0
Automotive,2016,7705.0,17566.0,,2546.0,5195.0,,6149.0,4310.0,25604.0,11344.0,2502.0,,1000.0,4794.0,88715.0
Motorcycles,2021,167.0,468.0,,,,,0.0,,3.0,656.0,91.0,,,9.0,1394.0
Motorcycles,2020,155.0,401.0,,,,,0.0,,35.0,687.0,219.0,,,5.0,1502.0
Motorcycles,2019,127.0,407.0,,,,,0.0,,37.0,679.0,186.0,,,11.0,1447.0
Motorcycles,2018,95.0,399.0,,,,,0.0,,35.0,568.0,167.0,,,12.0,1276.0
Motorcycles,2017,57.0,388.0,,,,,0.0,,37.0,580.0,160.0,,,8.0,1230.0
Motorcycles,2016,46.0,365.0,,,,,0.0,,30.0,492.0,144.0,,,,1077.0
Financial Services,2021,374.0,67.0,52017.0,,21.0,51808.0,701.0,618.0,8074.0,404.0,94.0,35705.0,83.0,3471.0,153437.0
Financial Services,2020,377.0,78.0,48759.0,,20.0,48082.0,773.0,550.0,8881.0,818.0,100.0,36252.0,64.0,2863.0,147617.0
Financial Services,2019,389.0,89.0,50348.0,,1.0,51079.0,1148.0,512.0,8457.0,808.0,103.0,41407.0,84.0,2075.0,156500.0
Financial Services,2018,403.0,30.0,46427.0,,1.0,48109.0,1463.0,483.0,9046.0,17.0,91.0,38674.0,79.0,1985.0,146808.0
Financial Services,2017,425.0,33.0,44285.0,,2.0,48321.0,1707.0,442.0,8413.0,24.0,152.0,32113.0,55.0,1856.0,137828.0
Financial Services,2016,405.0,29.0,45134.0,,3.0,48032.0,1725.0,389.0,8510.0,5.0,178.0,30228.0,44.0,3046.0,137728.0
