Type,Annee,Capital souscrit,Réserves de capital,Réserves de revenus,Autres capitaux propres accumulés,Intérêts minoritaires,Capitaux propres,Provisions pour risques et charges,autres provisions,Taxe différée,Passifs financiers,Autres passifs,Impôt actuel,Dettes commerciales,Dettes,Total des capitaux propres et du passif
Group,2021,661,2325,71705,-325,766,75132,1247,13954,1458,103463,22420,921,10932,35731,229527
Group,2020,660,2199,59550,-1518,629,61520,3693,13982,509,106376,21187,747,8644,31087,216658
Group,2019,659,2161,57667,-1163,583,59907,3335,13209,632,116740,23066,963,10182,34843,228034
Group,2018,658,2118,56121,-1338,529,58088,2330,11854,1806,103597,20416,1158,9731,33111,208980
Group,2017,658,2084,50815,114,436,54107,3252,11999,2157,94648,18488,1124,9731,31500,195506
Group,2016,657,2047,44445,-41,255,47363,4587,10918,2795,97731,15555,1074,8512,27936,188535
Automotive,2021,,,,,,50296.0,1073.0,13119.0,1515.0,3709.0,41256.0,700.0,9650.0,53121.0,121318.0
Automotive,2020,,,,,,41117.0,3197.0,13228.0,697.0,2984.0,42100.0,537.0,7365.0,50699.0,111225.0
Automotive,2019,,,,,,40174.0,2820.0,12567.0,543.0,4609.0,42831.0,704.0,8814.0,52892.0,113062.0
Automotive,2018,,,,,,39778.0,2089.0,10799.0,1016.0,1896.0,32185.0,933.0,8422.0,42556.0,97118.0
Automotive,2017,,,,,,39361.0,2405.0,10885.0,1456.0,1779.0,28369.0,874.0,8516.0,39215.0,93645.0
Automotive,2016,,,,,,36624.0,2911.0,9757.0,740.0,3423.0,27007.0,770.0,7483.0,36000.0,88715.0
Motorcycles,2021,,,,,,0.0,31.0,219.0,,2.0,764.0,,378.0,1142.0,1394.0
Motorcycles,2020,,,,,,0.0,109.0,174.0,,0.0,841.0,,378.0,1219.0,1502.0
Motorcycles,2019,,,,,,0.0,96.0,186.0,,0.0,752.0,,413.0,1165.0,1447.0
Motorcycles,2018,,,,,,0.0,64.0,171.0,,,693.0,,348.0,1041.0,1276.0
Motorcycles,2017,,,,,,0.0,69.0,200.0,,,606.0,,355.0,961.0,1230.0
Motorcycles,2016,,,,,,0.0,83.0,193.0,,,498.0,,303.0,801.0,1077.0
Financial Services,2021,,,,,,17324.0,35.0,612.0,3426.0,43337.0,87669.0,140.0,894.0,92129.0,153437.0
Financial Services,2020,,,,,,15555.0,49.0,534.0,2812.0,42908.0,84675.0,192.0,892.0,88571.0,147617.0
Financial Services,2019,,,,,,15545.0,47.0,401.0,3804.0,45108.0,90468.0,184.0,943.0,95399.0,156500.0
Financial Services,2018,,,,,,14919.0,49.0,875.0,4611.0,44875.0,80321.0,208.0,950.0,86090.0,146808.0
Financial Services,2017,,,,,,14740.0,72.0,905.0,4302.0,42672.0,74055.0,233.0,849.0,79439.0,137828.0
Financial Services,2016,,,,,,11049.0,77.0,952.0,6755.0,45086.0,72852.0,255.0,702.0,80564.0,137728.0
