Annee,Revenus,Résultats opérationnels,Marge brute,Résultat financier,Bénéfices avant impôt,Bénéfice net de l'année
2022,279232.0,22124.0,0.07923160669,-81.0,22044.0,15836.0
2021,250200.0,19275.0,0.0770383693,851.0,20126.0,15428.0
2020,222884.0,9675.0,0.04340823029,1991.0,11667.0,8824.0
2019,252632.0,16960.0,0.06713322144,1396.0,18356.0,14029.0
2018,235849.0,13920.0,0.05902081416,1723.0,15643.0,12153.0
2017,229550.0,13818.0,0.06019603572,-146.0,13673.0,11463.0
2016,217267.0,7103.0,0.03269249357,189.0,7292.0,5379.0
2015,213292.0,-4069.0,-0.01907713369,2767.0,-1301.0,-1361.0
2014,202458.0,12697.0,0.06271424197,2097.0,14794.0,11068.0
2013,197007.0,11671.0,0.05924154979,757.0,12428.0,9145.0
2012,192676.0,11498.0,0.05967530985,13989.0,25487.0,21881.0
