Annee,Continents,unites_vendues
2022,Europe,878500.0
2021,Europe,949100.0
2020,Europe,913600.0
2019,Europe,1081600.0
2018,Europe,1097100.0
2017,Europe,1101800.0
2016,Europe,1092200.0
2022,Amerique,441500.0
2021,Amerique,451700.0
2020,Amerique,379700.0
2019,Amerique,472900.0
2018,Amerique,457100.0
2017,Amerique,451100.0
2016,Amerique,460400.0
2022,Asie,1031032.0
2021,Asie,1067914.0
2020,Asie,986500.0
2019,Asie,930804.0
2018,Asie,871200.0
2017,Asie,848826.0
2016,Asie,747303.0
2022,Autres continents,48600.0
2021,Autres continents,52800.0
2020,Autres continents,45379.0
2019,Autres continents,52200.0
2018,Autres continents,57892.0
2017,Autres continents,61800.0
2016,Autres continents,67700.0
