Annee,Pays,unites_vendues
2022,Allemagne,254300.0
2021,Allemagne,266800.0
2020,Allemagne,285000.0
2019,Allemagne,330500.0
2018,Allemagne,310600.0
2017,Allemagne,295800.0
2016,Allemagne,298900.0
2022,GB,157300.0
2021,GB,164300.0
2020,GB,163200.0
2019,GB,233800.0
2018,GB,236800.0
2017,GB,241700.0
2016,GB,252400.0
2022,Italie,67188.8
2021,Italie,70602.0
2020,Italie,62780.40000000001
2019,Italie,73587.5
2018,Italie,76982.29999999999
2017,Italie,86222.50000000001
2016,Italie,82865.99999999999
2022,France,76787.2
2021,France,75645.0
2020,France,82821.8
2019,France,81200.0
2018,France,86915.5
2017,France,91149.49999999999
2016,France,85233.59999999996
2022,USA,363500.0
2021,USA,368000.0
2020,USA,307900.0
2019,USA,375700.0
2018,USA,355400.0
2017,USA,353800.0
2016,USA,366500.0
2022,Chine,793532.0
2021,Chine,847914.0
2020,Chine,778400.0
2019,Chine,724704.0
2018,Chine,635800.0
2017,Chine,595026.0
2016,Chine,516803.0
2022,Japon,88785.19999999998
2021,Japon,78166.5
2020,Japon,62780.40000000001
2019,Japon,60900.0
2018,Japon,76982.29999999999
2017,Japon,78832.00000000001
2016,Japon,75763.19999999998
2022,Autres pays,598238.7999999998
2021,Autres pays,650086.5000000001
2020,Autres pays,582296.3999999999
2019,Autres pays,657112.5
2018,Autres pays,703812.0
2017,Autres pays,720995.9999999999
2016,Autres pays,689137.1999999997
