Annee,Pays,unites_vendues
2022,Allemagne,24145.1
2021,Allemagne,26036.200000000004
2020,Allemagne,27595.900000000005
2019,Allemagne,26279.999999999996
2018,Allemagne,23846.399999999998
2017,Allemagne,26600.4
2016,Allemagne,24939.999999999996
2022,France,21304.5
2021,France,19818.6
2020,France,17607.199999999997
2019,France,17344.8
2018,France,16560.0
2017,France,16584.2
2016,France,11890.0
2022,Italie,15623.300000000001
2021,Italie,16126.900000000003
2020,Italie,13882.600000000002
2019,Italie,15592.8
2018,Italie,14076.0
2017,Italie,14449.599999999999
2016,Italie,12325.000000000002
2022,USA,17652.3
2021,USA,16126.900000000003
2020,USA,12189.6
2019,USA,13315.199999999999
2018,USA,13910.400000000001
2017,USA,13628.6
2016,USA,13775.0
2022,Chine,15420.400000000001
2021,Chine,14378.199999999999
2020,Chine,11851.000000000002
2019,Chine,12299.039999999999
2018,Chine,11923.199999999999
2017,Chine,11494.0
2016,Chine,10295.0
2022,Bresil,12985.6
2021,Bresil,11075.1
2020,Bresil,10665.900000000001
2019,Bresil,9986.4
2018,Bresil,9273.6
2017,Bresil,9359.4
2016,Bresil,8337.5
2022,Espagne,12579.800000000001
2021,Espagne,12629.500000000002
2020,Espagne,11004.500000000002
2019,Espagne,12614.399999999998
2018,Espagne,11095.2
2017,Espagne,11165.6
2016,Espagne,9570.0
2022,Autres,83189.0
2021,Autres,78108.6
2020,Autres,64503.30000000001
2019,Autres,67767.36
2018,Autres,64915.2
2017,Autres,60918.19999999999
2016,Autres,53867.5
