Annee,Quarter,Date,modele,unites_vendues
2022,1,2022-03-31,BMW_model,519 796
2022,2,2022-06-30,BMW_model,496 432
2022,3,2022-09-30,BMW_model,517 638
2022,4,2022-12-31,BMW_model,566 823
2021,1,2021-03-31,BMW_model,560 543
2021,2,2021-06-30,BMW_model,617 667
2021,3,2021-09-30,BMW_model,524 858
2021,4,2021-12-31,BMW_model,510 722
2020,1,2020-03-31,BMW_model,411 695
2020,2,2020-06-30,BMW_model,430 660
2020,3,2020-09-30,BMW_model,585 505
2020,4,2020-12-31,BMW_model,600 981
2019,1,2019-03-31,BMW_model,515 297
2019,2,2019-06-30,BMW_model,560 189
2019,3,2019-09-30,BMW_model,533 215
2019,4,2019-12-31,BMW_model,576 238
2018,1,2018-03-31,BMW_model,517 447
2018,2,2018-06-30,BMW_model,541 849
2018,3,2018-09-30,BMW_model,506 920
2018,4,2018-12-31,BMW_model,558 810
2017,1,2017-03-31,BMW_model,503 445
2017,2,2017-06-30,BMW_model,534 585
2017,3,2017-09-30,BMW_model,499 467
2017,4,2017-12-31,BMW_model,550 786
2016,1,2016-03-31,BMW_model,478 743
2016,2,2016-06-30,BMW_model,507 814
2016,3,2016-09-30,BMW_model,493 379
2016,4,2016-12-31,BMW_model,523 423
2022,1,2022-03-31,MINI,75 487
2022,2,2022-06-30,MINI,65 188
2022,3,2022-09-30,MINI,68 596
2022,4,2022-12-31,MINI,83 651
2021,1,2021-03-31,MINI,74 683
2021,2,2021-06-30,MINI,83 165
2021,3,2021-09-30,MINI,66 990
2021,4,2021-12-31,MINI,77 300
2020,1,2020-03-31,MINI,64 295
2020,2,2020-06-30,MINI,54 694
2020,3,2020-09-30,MINI,89 402
2020,4,2020-12-31,MINI,84 191
2019,1,2019-03-31,MINI,84 145
2019,2,2019-06-30,MINI,88 337
2019,3,2019-09-30,MINI,87 561
2019,4,2019-12-31,MINI,87 422
2018,1,2018-03-31,MINI,86 375
2018,2,2018-06-30,MINI,95 055
2018,3,2018-09-30,MINI,84 505
2018,4,2018-12-31,MINI,95 596
2017,1,2017-03-31,MINI,83 059
2017,2,2017-06-30,MINI,98 155
2017,3,2017-09-30,MINI,90 180
2017,4,2017-12-31,MINI,100 487
2016,1,2016-03-31,MINI,78 311
2016,2,2016-06-30,MINI,96 587
2016,3,2016-09-30,MINI,89 179
2016,4,2016-12-31,MINI,96 156
2022,1,2022-03-31,Rolls-Royce,1 624
2022,2,2022-06-30,Rolls-Royce,1 567
2022,3,2022-09-30,Rolls-Royce,1 510
2022,4,2022-12-31,Rolls-Royce,1 320
2021,1,2021-03-31,Rolls-Royce,1 380
2021,2,2021-06-30,Rolls-Royce,1 609
2021,3,2021-09-30,Rolls-Royce,1 329
2021,4,2021-12-31,Rolls-Royce,1 268
2020,1,2020-03-31,Rolls-Royce,853
2020,2,2020-06-30,Rolls-Royce,707
2020,3,2020-09-30,Rolls-Royce,1 091
2020,4,2020-12-31,Rolls-Royce,1 105
2019,1,2019-03-31,Rolls-Royce,1 172
2019,2,2019-06-30,Rolls-Royce,1 330
2019,3,2019-09-30,Rolls-Royce,1 205
2019,4,2019-12-31,Rolls-Royce,1 393
2018,1,2018-03-31,Rolls-Royce,807
2018,2,2018-06-30,Rolls-Royce,974
2018,3,2018-09-30,Rolls-Royce,878
2018,4,2018-12-31,Rolls-Royce,1 448
2017,1,2017-03-31,Rolls-Royce,733
2017,2,2017-06-30,Rolls-Royce,842
2017,3,2017-09-30,Rolls-Royce,768
2017,4,2017-12-31,Rolls-Royce,1 019
2016,1,2016-03-31,Rolls-Royce,551
2016,2,2016-06-30,Rolls-Royce,1 133
2016,3,2016-09-30,Rolls-Royce,941
2016,4,2016-12-31,Rolls-Royce,1 386
