Entreprise,Nom_fichier,Type,Annee,Immobilisations incorporelles,Immobilisations corporelles,Produits loués,Participations comptabilisées,Autres investissements,Créances de financement des ventes,Actifs financiers,Taxe différée,Autres actifs,Inventaires,Créances clients,Créances de financement des ventes.1,Impôt actuel,Trésorerie et équivalents de trésorerie,Total des actifs,Participations comptabilisées selon la méthode de la mise en équivalence,Bénéfice/perte avant impôt,Impôts sur le revenu payés,Intérêts reçus,Autres intérêts et produits/charges assimilés ,Amortissements et dépréciations des immobilisations corporelles et incorporelles,Autres produits et charges non monétaires,Résultat des investissements,Variation des produits loués,Variation des créances liées au financement des ventes,Variation du fonds de roulement,Variation des stocks,Variation des créances commerciales,Variation des dettes commerciales,Variation des provisions,Variation des autres actifs et passifs opérationnels,Flux de trésorerie entrants/sortants liés aux activités opérationnelles,Investissement total dans les immobilisations incorporelles et corporelles,Produit des subventions pour les immobilisations incorporelles et les immobilisations corporelles,Produits de cession d'immobilisations incorporelles et d'immobilisations corporelles,Dépenses pour les actifs d'investissement,Produits de la cession d'actifs de placement et d'autres unités opérationnelles,Investissements en titres négociables et fonds d'investissement,Produits de la vente de titres négociables et de fonds d'investissement,Flux de trésorerie entrants/sortants liés aux activités d'investissement,Apports en capitaux propres,Paiement du dividende de l'année précédente,Opérations de financement et transactions sur capitaux propres intragroupe,Intérêts payés,Produit de l'émission de passifs financiers non courants,Remboursement de passifs financiers non courants,Variation des autres passifs financiers,Flux de trésorerie entrants/sortants liés aux activités de financement,Effet des variations de  taux de change sur la trésorerie et les équivalents de trésorerie,Effet des changements dans la composition du Groupe sur la trésorerie et les équivalents de trésorerie,Variation de la trésorerie et des équivalents de trésorerie,Trésorerie et équivalents de trésorerie au 1er janvier,Trésorerie et équivalents de trésorerie au 31 décembre,Flux de trésorerie liés aux activités d'investissement,Revenus,Excédent brut d'exploitation,Marge d'exploitation,Rentabilité économique RoCE,Flux de trésorerie disponible,Actifs financiers nets,Date,Quarter,Rentabilité financière RoE,Ratio de pénétration,Nouveaux contrats avec des particuliers,Bénéfice avant impôt,Rentabilité opérationnelle,Bénéfice net,Dépenses en capital,Ratio d'investissement,Dépenses de recherche et développement R&D,Ratio R&D,Sales volume (deliveries to customers) units,Production volume units,Capital souscrit,Réserves de capital,Réserves de revenus,Autres capitaux propres accumulés,Intérêts minoritaires,Capitaux propres,Provisions pour risques et charges,autres provisions,Passifs financiers,Autres passifs,Dettes commerciales,Dettes,Total des capitaux propres et du passif,Capitaux propres attribuables aux actionnaires,modele,unites_vendues,Résultats opérationnels,Marge brute,Résultat financier,Bénéfices avant impôt,Bénéfice net de l'année,vente,Continents,Pays
BMW,Actifs_BMW,Group,2021,12980.0,22390.0,44700.0,5112.0,1241.0,51712.0,7515.0,2202.0,10243.0,15928.0,2261.0,35705.0,1529.0,16009.0,229527.0,,,,,,,,,,,,,,,,,15903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Group,2020,12342.0,21850.0,41995.0,3585.0,735.0,48025.0,7752.0,2459.0,10326.0,14896.0,2298.0,36252.0,606.0,13537.0,216658.0,,,,,,,,,,,,,,,,,13251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Group,2019,11729.0,23245.0,42609.0,3199.0,703.0,51030.0,7325.0,2194.0,12939.0,15891.0,2518.0,41407.0,1209.0,12036.0,228034.0,,,,,,,,,,,,,,,,,3662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Group,2018,10971.0,19801.0,38572.0,2624.0,739.0,48109.0,7685.0,1590.0,12277.0,13047.0,2546.0,38674.0,1366.0,10979.0,208980.0,,,,,,,,,,,,,,,,,5051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Group,2017,9464.0,18471.0,36257.0,2769.0,690.0,48321.0,10334.0,1993.0,9115.0,12707.0,2667.0,32113.0,1566.0,9039.0,195506.0,,,,,,,,,,,,,,,,,5909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Group,2016,8157.0,17960.0,37789.0,2546.0,560.0,48032.0,9770.0,2327.0,6682.0,11841.0,2825.0,30228.0,1938.0,7880.0,188535.0,,,,,,,,,,,,,,,,,3173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2021,12438.0,21885.0,,5112.0,6061.0,,5502.0,3418.0,37649.0,14868.0,2076.0,,300.0,12009.0,121318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2020,11809.0,21371.0,,3585.0,4711.0,,4711.0,3196.0,36608.0,13391.0,1979.0,,342.0,9522.0,111225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2019,11212.0,22749.0,,3199.0,5144.0,,4903.0,3451.0,35695.0,14404.0,2228.0,,1000.0,9077.0,113062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2018,10472.0,19372.0,,2624.0,4843.0,,5204.0,3043.0,27562.0,12462.0,2287.0,,618.0,8631.0,97118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2017,8981.0,18050.0,,2769.0,4985.0,,6880.0,2857.0,26795.0,12103.0,2354.0,,714.0,7157.0,93645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2016,7705.0,17566.0,,2546.0,5195.0,,6149.0,4310.0,25604.0,11344.0,2502.0,,1000.0,4794.0,88715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2021,167.0,468.0,,,,,0.0,,3.0,656.0,91.0,,,9.0,1394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2020,155.0,401.0,,,,,0.0,,35.0,687.0,219.0,,,5.0,1502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2019,127.0,407.0,,,,,0.0,,37.0,679.0,186.0,,,11.0,1447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2018,95.0,399.0,,,,,0.0,,35.0,568.0,167.0,,,12.0,1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
